Index,Name,Price
A,Agilent Technologies Inc,$96.33
AA,Alcoa Corp,$13.00
AABA,#N/A,#N/A
AAL,American Airlines Group Inc,$11.12
AAP,"Advance Auto Parts, Inc.",$150.14
AAPL,Apple Inc.,$425.04
ABBV,AbbVie Inc,$94.91
ABEV,Ambev SA - ADR,$2.68
ABT,Abbott Laboratories,$100.64
ACHN,Aluminum Corp. of China Limited ADR Class H,$138.00
ADBE,Adobe Inc,$444.32
ADI,"Analog Devices, Inc.",$114.85
ADM,Archer-Daniels-Midland Co,$42.83
ADP,Automatic Data Processing Inc,$132.91
ADSK,"Autodesk, Inc.",$236.43
AEO,American Eagle Outfitters Inc,$10.00
AEP,American Electric Power Company Inc,$86.88
AES,AES Corp,$15.23
AFL,AFLAC Incorporated,$35.57
AG,First Majestic Silver Corp.,$13.33
AGNC,AGNC Investment Corp,$13.60
AIG,American International Group Inc,$32.14
AKAM,"Akamai Technologies, Inc.",$112.44
AKS,AK STL HLDG COR/SH SH,$0.00
AL,Air Lease Corp Class A,$26.22
ALGN,"Align Technology, Inc.",$293.82
ALL,Allstate Corp,$94.39
ALLT,Allot Ltd,$12.14
ALLY,Ally Financial Inc,$20.10
ALRS,Alerus Financial Corp,$19.38
ALXN,"Alexion Pharmaceuticals, Inc.",$102.49
AM,Antero Midstream Corp,$5.67
AMAT,"Applied Materials, Inc.",$64.33
AMC,AMC Entertainment Holdings Inc,$4.04
AMD,"Advanced Micro Devices, Inc.",$77.43
AME,"AMETEK, Inc.",$93.25
AMGN,"Amgen, Inc.",$244.67
AMH,American Homes 4 Rent Class A,$29.00
AMRX,Amneal Pharmaceuticals Inc,$4.33
AMT,American Tower Corp,$261.39
AMTD,TD Ameritrade Holding Corp.,$35.89
AMZN,"Amazon.com, Inc.","$3,164.68"
ANET,Arista Networks Inc,$259.77
ANF,Abercrombie & Fitch Co.,$9.63
ANGI,ANGI Homeservices Inc,$15.79
ANSS,"ANSYS, Inc.",$310.60
ANTM,Anthem Inc,$273.80
AOS,A. O. Smith Corp,$48.14
APA,Apache Corporation,$15.35
APD,"Air Products & Chemicals, Inc.",$286.63
APH,Amphenol Corporation,$105.76
APPS,Digital Turbine Inc,$13.88
AR,Antero Resources Corp,$2.96
